from,to,weight
pensiveness,cynicism,1.875
pensiveness,morbidness,5.5
pensiveness,aggressiveness,0.6923076923076923
pensiveness,pride,0.9285714285714286
pensiveness,dominance,1.6666666666666667
loathing,joy,0.2857142857142857
loathing,trust,0.625
loathing,fear,3.5
loathing,surprise,1.4166666666666667
loathing,sadness,3.8666666666666663
loathing,disgust,6.454545454545454
loathing,anger,6.384615384615385
loathing,anticipation,0.75
loathing,ecstasy,1.0909090909090908
loathing,serenity,0.8571428571428571
loathing,admiration,1.0
loathing,acceptance,1.2
loathing,terror,4.571428571428571
loathing,apprehension,1.2857142857142858
loathing,amazement,1.5
loathing,distraction,2.1538461538461537
loathing,grief,3.0555555555555554
loathing,pensiveness,1.2
loathing,boredom,1.5714285714285714
loathing,rage,5.083333333333333
loathing,annoyance,5.2727272727272725
loathing,vigilance,2.8
loathing,interest,0.7142857142857143
loathing,optimism,0.5
loathing,hope,0.5
loathing,anxiety,3.0833333333333335
loathing,love,1.0
loathing,guilt,2.625
loathing,delight,0.7857142857142857
loathing,submission,1.7
loathing,curiosity,0.75
loathing,sentimentality,2.625
loathing,awe,0.5
loathing,despair,4.0
loathing,shame,1.5833333333333333
loathing,disappointment,4.2
loathing,unbelief,3.4444444444444446
loathing,outrage,4.583333333333333
loathing,remorse,2.4
loathing,envy,5.0
loathing,pessimism,3.357142857142857
loathing,contempt,4.1
loathing,cynicism,2.0
loathing,morbidness,1.8
loathing,aggressiveness,2.0833333333333335
loathing,pride,1.8
loathing,dominance,1.0
boredom,joy,0.2857142857142857
boredom,trust,0.6
boredom,fear,1.181818181818182
boredom,surprise,0.2
boredom,sadness,2.5
boredom,disgust,1.875
boredom,anger,0.7
boredom,anticipation,0.7272727272727273
boredom,ecstasy,1.4
boredom,serenity,5.1
boredom,admiration,0.625
boredom,acceptance,1.8333333333333333
boredom,terror,2.076923076923077
boredom,apprehension,1.5
boredom,amazement,0.5
boredom,distraction,0.6363636363636364
boredom,grief,1.5
boredom,pensiveness,3.5
boredom,loathing,1.3333333333333333
boredom,rage,0.9
boredom,annoyance,1.9
boredom,vigilance,0.0
boredom,interest,0.6666666666666666
boredom,optimism,2.4444444444444446
boredom,hope,1.0
boredom,anxiety,3.0
boredom,love,1.2
boredom,guilt,2.0
boredom,delight,0.3
boredom,submission,1.25
boredom,curiosity,0.5833333333333334
boredom,sentimentality,2.0
boredom,awe,0.6363636363636364
boredom,despair,2.8
boredom,shame,1.4615384615384617
boredom,disappointment,3.090909090909091
boredom,unbelief,0.4
boredom,outrage,1.2307692307692308
boredom,remorse,0.9333333333333332
boredom,envy,0.4
boredom,pessimism,1.6666666666666667
boredom,contempt,1.0833333333333333
boredom,cynicism,2.4285714285714284
boredom,morbidness,4.25
boredom,aggressiveness,0.3333333333333333
boredom,pride,0.5714285714285714
boredom,dominance,1.8
rage,joy,1.0909090909090908
